"expr" "time"
"243" "map_dbl(1:170, Factorial_mem)" 1251953
"244" "mapply(Factorial_reduce, 1:170)" 505554
"245" "mapply(Factorial_loop, 1:170)" 3965307
"246" "map_dbl(1:170, Factorial_mem)" 1201446
"247" "map_dbl(1:170, Factorial_mem)" 1189711
"248" "mapply(Factorial_reduce, 1:170)" 461138
"249" "mapply(Factorial_func, 1:170)" 29063374
"250" "mapply(Factorial_reduce, 1:170)" 447776
"251" "map_dbl(1:170, Factorial_mem)" 1262657
"252" "mapply(Factorial_func, 1:170)" 32194964
"253" "map_dbl(1:170, Factorial_mem)" 1240851
"254" "map_dbl(1:170, Factorial_mem)" 1340136
"255" "mapply(Factorial_loop, 1:170)" 3937410
"256" "mapply(Factorial_reduce, 1:170)" 445442
"257" "mapply(Factorial_loop, 1:170)" 3949532
"258" "map_dbl(1:170, Factorial_mem)" 1240008
"259" "map_dbl(1:170, Factorial_mem)" 1223574
"260" "mapply(Factorial_loop, 1:170)" 4106287
"261" "mapply(Factorial_reduce, 1:170)" 439485
"262" "mapply(Factorial_func, 1:170)" 32371899
"263" "map_dbl(1:170, Factorial_mem)" 1301747
"264" "mapply(Factorial_reduce, 1:170)" 591888
"265" "mapply(Factorial_func, 1:170)" 29552320
"266" "mapply(Factorial_loop, 1:170)" 4434577
"267" "mapply(Factorial_func, 1:170)" 31787456
"268" "mapply(Factorial_loop, 1:170)" 4096695
"269" "map_dbl(1:170, Factorial_mem)" 1251289
"270" "map_dbl(1:170, Factorial_mem)" 1265185
"271" "mapply(Factorial_reduce, 1:170)" 456778
"272" "mapply(Factorial_reduce, 1:170)" 435900
"273" "mapply(Factorial_reduce, 1:170)" 395893
"274" "mapply(Factorial_func, 1:170)" 32698366
"275" "mapply(Factorial_reduce, 1:170)" 572999
"276" "mapply(Factorial_loop, 1:170)" 3997840
"277" "mapply(Factorial_func, 1:170)" 29714330
"278" "map_dbl(1:170, Factorial_mem)" 1353539
"279" "mapply(Factorial_loop, 1:170)" 4310518
"280" "mapply(Factorial_func, 1:170)" 31435960
"281" "map_dbl(1:170, Factorial_mem)" 1270555
"282" "mapply(Factorial_loop, 1:170)" 4074943
"283" "map_dbl(1:170, Factorial_mem)" 1243484
"284" "map_dbl(1:170, Factorial_mem)" 1227675
"285" "mapply(Factorial_func, 1:170)" 33396105
"286" "mapply(Factorial_loop, 1:170)" 3988839
"287" "mapply(Factorial_loop, 1:170)" 4036709
"288" "map_dbl(1:170, Factorial_mem)" 1336614
"289" "map_dbl(1:170, Factorial_mem)" 1195869
"290" "mapply(Factorial_func, 1:170)" 32553595
"291" "mapply(Factorial_loop, 1:170)" 3954937
"292" "mapply(Factorial_loop, 1:170)" 3876092
"293" "map_dbl(1:170, Factorial_mem)" 1232175
"294" "mapply(Factorial_func, 1:170)" 29196928
"295" "map_dbl(1:170, Factorial_mem)" 1299745
"296" "mapply(Factorial_loop, 1:170)" 4440696
"297" "mapply(Factorial_func, 1:170)" 32049466
"298" "map_dbl(1:170, Factorial_mem)" 1375547
"299" "mapply(Factorial_loop, 1:170)" 4001312
"300" "mapply(Factorial_loop, 1:170)" 3951545
"301" "mapply(Factorial_reduce, 1:170)" 468083
"302" "mapply(Factorial_func, 1:170)" 33962051
"303" "mapply(Factorial_reduce, 1:170)" 533235
"304" "mapply(Factorial_reduce, 1:170)" 447934
"305" "mapply(Factorial_loop, 1:170)" 3966300
"306" "map_dbl(1:170, Factorial_mem)" 1257422
"307" "mapply(Factorial_loop, 1:170)" 4007925
"308" "mapply(Factorial_reduce, 1:170)" 431487
"309" "mapply(Factorial_reduce, 1:170)" 395904
"310" "mapply(Factorial_reduce, 1:170)" 387063
"311" "mapply(Factorial_reduce, 1:170)" 384599
"312" "mapply(Factorial_reduce, 1:170)" 402750
"313" "mapply(Factorial_func, 1:170)" 30264053
"314" "map_dbl(1:170, Factorial_mem)" 1859848
"315" "mapply(Factorial_loop, 1:170)" 7294000
"316" "mapply(Factorial_func, 1:170)" 29228318
"317" "mapply(Factorial_loop, 1:170)" 4006382
"318" "mapply(Factorial_loop, 1:170)" 4026200
"319" "mapply(Factorial_func, 1:170)" 32727336
"320" "mapply(Factorial_reduce, 1:170)" 512678
"321" "mapply(Factorial_reduce, 1:170)" 455970
"322" "mapply(Factorial_reduce, 1:170)" 438626
"323" "map_dbl(1:170, Factorial_mem)" 1258631
"324" "mapply(Factorial_loop, 1:170)" 3965124
"325" "mapply(Factorial_loop, 1:170)" 3947250
"326" "mapply(Factorial_func, 1:170)" 32958991
"327" "mapply(Factorial_loop, 1:170)" 4357958
"328" "map_dbl(1:170, Factorial_mem)" 1233282
"329" "mapply(Factorial_reduce, 1:170)" 444748
"330" "map_dbl(1:170, Factorial_mem)" 1219578
"331" "mapply(Factorial_reduce, 1:170)" 446848
"332" "mapply(Factorial_reduce, 1:170)" 418022
"333" "mapply(Factorial_func, 1:170)" 29167347
"334" "mapply(Factorial_loop, 1:170)" 4079310
"335" "mapply(Factorial_reduce, 1:170)" 451796
"336" "mapply(Factorial_reduce, 1:170)" 396898
"337" "mapply(Factorial_reduce, 1:170)" 391740
"338" "mapply(Factorial_reduce, 1:170)" 402124
"339" "mapply(Factorial_func, 1:170)" 33839288
"340" "map_dbl(1:170, Factorial_mem)" 1824080
"341" "mapply(Factorial_loop, 1:170)" 4379238
"342" "map_dbl(1:170, Factorial_mem)" 1211329
"343" "mapply(Factorial_func, 1:170)" 33257266
"344" "mapply(Factorial_func, 1:170)" 30500070
"345" "mapply(Factorial_loop, 1:170)" 4184669
"346" "map_dbl(1:170, Factorial_mem)" 1268229
"347" "mapply(Factorial_func, 1:170)" 33273998
"348" "map_dbl(1:170, Factorial_mem)" 1259637
"349" "mapply(Factorial_loop, 1:170)" 4025540
"350" "mapply(Factorial_loop, 1:170)" 3931617
"351" "map_dbl(1:170, Factorial_mem)" 1249314
"352" "map_dbl(1:170, Factorial_mem)" 1195477
"353" "mapply(Factorial_func, 1:170)" 33050016
"354" "mapply(Factorial_func, 1:170)" 28862696
"355" "map_dbl(1:170, Factorial_mem)" 1422662
"356" "map_dbl(1:170, Factorial_mem)" 1263045
"357" "map_dbl(1:170, Factorial_mem)" 1316899
"358" "mapply(Factorial_loop, 1:170)" 4598749
"359" "map_dbl(1:170, Factorial_mem)" 1885064
"360" "mapply(Factorial_reduce, 1:170)" 546654
"361" "mapply(Factorial_loop, 1:170)" 4687539
"362" "map_dbl(1:170, Factorial_mem)" 1318133
"363" "mapply(Factorial_loop, 1:170)" 4577963
